contig00182, 0
contig00759, 1
contig00911, 9
contig00166, 0
contig01097, 1
contig00360, 0
contig01013, 1
contig00939, 2
contig00507, 5
contig00165, 1
contig01134, 0
contig01080, 0
contig00318, 1
contig00206, 0
contig01330, 8
contig00027, 2
contig00631, 0
contig00727, 1
contig00061, 0
contig01344, 0
contig00697, 1
contig00713, 0
contig00538, 7
contig01056, 1
contig01281, 17
contig00778, 1
contig00478, 2
contig00569, 0
contig01195, 3
contig01023, 2
contig00015, 1
contig00965, 0
contig00040, 16
contig00188, 1
contig00283, 0
contig00709, 3
contig00056, 2
contig00851, 0
contig00839, 4
contig00132, 2
contig00352, 0
contig00854, 0
contig01373, 0
contig00706, 6
contig00991, 29
contig00972, 9
contig00554, 3
contig00791, 0
contig01169, 1
contig01232, 5
contig00499, 0
contig00245, 0
contig00962, 0
contig00787, 4
contig00465, 1
contig00492, 0
contig00249, 25
contig00202, 2
contig00650, 0
contig00484, 0
contig00740, 0
contig00808, 0
contig00039, 1
contig00086, 3
contig00479, 1
contig00414, 2
contig00516, 2
contig00016, 7
contig00409, 1
contig00943, 0
contig01142, 1
contig00130, 1
contig01106, 0
contig00230, 0
contig00905, 6
contig00708, 1
contig01338, 2
contig00633, 1
contig01309, 3
contig01345, 0
contig01262, 0
contig01096, 1
contig00376, 0
contig00517, 2
contig00661, 0
contig00471, 0
contig01300, 6
contig00096, 1
contig01302, 0
contig00031, 0
contig00194, 1
contig01318, 1
contig00121, 1
contig00833, 3
contig00821, 14
contig01150, 4
contig00158, 8
contig01335, 4
contig01012, 0
contig01025, 0
contig00988, 0
contig00329, 0
contig00258, 10
contig01277, 17
contig00001, 4
contig01212, 0
contig01110, 1
contig01037, 1
contig00752, 4
contig00186, 1
contig00354, 0
contig01226, 0
contig00924, 2
contig01052, 0
contig00578, 4
contig01206, 0
contig00792, 0
contig00450, 1
contig01372, 17
contig00946, 8
contig00175, 1
contig01202, 0
contig01305, 1
contig00213, 1
contig01030, 4
contig00952, 6
contig00769, 12
contig01156, 2
contig00683, 1
contig00452, 1
contig00432, 1
contig01276, 2
contig00050, 8
contig00804, 1
contig01296, 4
contig01075, 0
contig00078, 0
contig00757, 1
contig00238, 20
contig00598, 0
contig00775, 2
contig00533, 2
contig01252, 1
contig00351, 0
contig00273, 2
contig00672, 2
contig01078, 0
contig00795, 1
contig01263, 4
contig01143, 1
contig00747, 1
contig01154, 0
contig01351, 0
contig00669, 2
contig01144, 0
contig00548, 0
contig00811, 1
contig01032, 2
contig00896, 0
contig00438, 2
contig01288, 0
contig00402, 3
contig00149, 1
contig00404, 2
contig00783, 1
contig01092, 1
contig00259, 0
contig00251, 6
contig00640, 0
contig00246, 10
contig01297, 6
contig01176, 0
contig00840, 3
contig00042, 3
contig01107, 1
contig01292, 1
contig00052, 0
contig01198, 0
contig01098, 1
contig00398, 4
contig00306, 2
contig00151, 0
contig01153, 1
contig00940, 10
contig01194, 1
contig01060, 1
contig01149, 6
contig00985, 9
contig00560, 8
contig00827, 0
contig00357, 14
contig00571, 0
contig00140, 3
contig00818, 2
contig00480, 1
contig00874, 1
contig01264, 0
contig01028, 1
contig00234, 7
contig00048, 0
contig00914, 8
contig00375, 2
contig00046, 7
contig00718, 2
contig01062, 0
contig00785, 1
contig01332, 3
contig00755, 4
contig01071, 2
contig01114, 3
contig01101, 5
contig00083, 2
contig00867, 5
contig00332, 0
contig00453, 0
contig01067, 0
contig00529, 4
contig00247, 11
contig00958, 4
contig01122, 4
contig00900, 0
contig00938, 1
contig00855, 0
contig00660, 2
contig00980, 7
contig01363, 4
contig00412, 1
contig01179, 4
contig01018, 7
contig01116, 1
contig01355, 0
contig00909, 3
contig00481, 0
contig00649, 1
contig01229, 0
contig00464, 1
contig00586, 2
contig01118, 1
contig01043, 1
contig00540, 1
contig00371, 3
contig00536, 1
contig00356, 2
contig00970, 6
contig01046, 4
contig00355, 4
contig00218, 1
contig00193, 1
contig00008, 3
contig00807, 1
contig01325, 20
contig00006, 10
contig00180, 0
contig00739, 1
contig00581, 0
contig00427, 0
contig00910, 0
contig00429, 0
contig01268, 1
contig00210, 0
contig01282, 5
contig00567, 12
contig00835, 2
contig00537, 2
contig00025, 0
contig01109, 0
contig00358, 0
contig01289, 1
contig00035, 2
contig00719, 0
contig00885, 2
contig00023, 2
contig01104, 3
contig00239, 33
contig01313, 2
contig00145, 1
contig00950, 10
contig00883, 1
contig01359, 0
contig00483, 0
contig00690, 0
contig00102, 0
contig00022, 4
contig00169, 2
contig00422, 0
contig01148, 4
contig00674, 1
contig01191, 0
contig00729, 0
contig01208, 1
contig00611, 1
contig00435, 1
contig00597, 0
contig00945, 0
contig01321, 3
contig00512, 3
contig00066, 0
contig00244, 8
contig00967, 5
contig00510, 1
contig00735, 0
contig00817, 3
contig00944, 11
contig00421, 0
contig00087, 0
contig00550, 14
contig00920, 5
contig00384, 2
contig00217, 3
contig00766, 1
contig01009, 0
contig00609, 0
contig00497, 1
